1), 56.00, 29.00, 259.00, 62.00, 49.00, 11.20, 5.80, 51.80, 12.40, 9.80, -1, -0.101820, -1, -1
2), 49.00, 31.00, 259.00, 66.00, 46.00, 21.00, 12.00, 103.60, 25.60, 19.00, -1, -0.101820, -1, -1
3), 49.00, 29.00, 254.00, 62.00, 48.00, 30.80, 17.80, 154.40, 38.00, 28.60, -1, -0.101820, -1, -1
4), 49.00, 29.00, 261.00, 61.00, 41.00, 40.60, 23.60, 206.60, 50.20, 36.80, -1, -0.101820, -1, -1
5), 46.00, 39.00, 252.00, 57.00, 41.00, 49.80, 31.40, 257.00, 61.60, 45.00, -1, -0.101727, -1, -1
6), 48.00, 44.00, 257.00, 52.00, 31.00, 48.20, 34.40, 256.60, 59.60, 41.40, -1, -0.101200, -1, -1
7), 46.00, 36.00, 257.00, 52.00, 31.00, 47.60, 35.40, 256.20, 56.80, 38.40, -1, -0.099509, -1, -1
8), 43.00, 44.00, 257.00, 56.00, 39.00, 46.40, 38.40, 256.80, 55.60, 36.60, -1, -0.099591, -1, -1
9), 43.00, 41.00, 257.00, 49.00, 31.00, 45.20, 40.80, 256.00, 53.20, 34.60, -1, -0.095090, -1, -1
10), 44.00, 34.00, 256.00, 51.00, 26.00, 44.80, 39.80, 256.80, 52.00, 31.60, -1, -0.096941, -1, -1
11), 43.00, 49.00, 257.00, 54.00, 39.00, 43.80, 40.80, 256.80, 52.40, 33.20, -1, -0.096982, -1, -1
12), 41.00, 39.00, 257.00, 52.00, 39.00, 42.80, 41.40, 256.80, 52.40, 34.80, -1, -0.093679, -1, -1
13), 46.00, 41.00, 257.00, 48.00, 28.00, 43.40, 40.80, 256.80, 50.80, 32.60, -1, -0.092061, -1, -1
14), 49.00, 36.00, 254.00, 51.00, 25.00, 44.60, 39.80, 256.20, 51.20, 31.40, -1, -0.098078, -1, -1
15), 43.00, 48.00, 261.00, 52.00, 41.00, 44.40, 42.60, 257.20, 51.40, 34.40, -1, -0.090111, -1, -1
16), 41.00, 36.00, 254.00, 46.00, 33.00, 44.00, 40.00, 256.60, 49.80, 33.20, -1, -0.087631, -1, -1
17), 46.00, 39.00, 261.00, 48.00, 29.00, 45.00, 40.00, 257.40, 49.00, 31.20, -1, -0.080952, -1, -1
18), 48.00, 34.00, 259.00, 51.00, 41.00, 45.40, 38.60, 257.80, 49.60, 33.80, -1, -0.082358, -1, -1
19), 41.00, 41.00, 259.00, 52.00, 39.00, 43.80, 39.60, 258.80, 49.80, 36.60, -1, -0.080650, -1, -1
20), 46.00, 34.00, 261.00, 46.00, 29.00, 44.40, 36.80, 258.80, 48.60, 34.20, -1, -0.059808, -1, -1
21), 46.00, 33.00, 257.00, 49.00, 28.00, 45.40, 36.20, 259.40, 49.20, 33.20, -1, -0.081466, -1, -1
22), 46.00, 36.00, 259.00, 52.00, 38.00, 45.40, 35.60, 259.00, 50.00, 35.00, -1, -0.082228, -1, -1
23), 41.00, 41.00, 254.00, 52.00, 41.00, 44.00, 37.00, 258.00, 50.20, 35.00, -1, -0.090715, -1, -1
24), 48.00, 38.00, 259.00, 46.00, 29.00, 45.40, 36.40, 258.00, 49.00, 33.00, -1, -0.072087, -1, -1
25), 46.00, 36.00, 257.00, 49.00, 26.00, 45.40, 36.80, 257.20, 49.60, 32.40, -1, -0.087697, -1, -1
26), 43.00, 38.00, 257.00, 52.00, 41.00, 44.80, 37.80, 257.20, 50.20, 35.00, -1, -0.086036, -1, -1
27), 43.00, 39.00, 259.00, 49.00, 39.00, 44.20, 38.40, 257.20, 49.60, 35.20, -1, -0.072459, -1, -1
28), 48.00, 38.00, 261.00, 46.00, 29.00, 45.60, 37.80, 258.60, 48.40, 32.80, -1, -0.064928, -1, -1
29), 44.00, 36.00, 254.00, 51.00, 34.00, 44.80, 37.40, 257.60, 49.40, 33.80, -1, -0.089611, -1, -1
30), 43.00, 49.00, 259.00, 51.00, 41.00, 44.20, 40.00, 258.00, 49.80, 36.80, -1, -0.080984, -1, -1
31), 43.00, 38.00, 259.00, 48.00, 31.00, 44.20, 40.00, 258.40, 49.00, 34.80, -1, -0.074415, -1, -1
32), 44.00, 36.00, 261.00, 46.00, 28.00, 44.40, 39.40, 258.80, 48.40, 32.60, -1, -0.066531, -1, -1
33), 46.00, 34.00, 261.00, 51.00, 28.00, 44.00, 38.60, 258.80, 49.40, 32.40, -1, -0.084658, -1, -1
34), 43.00, 49.00, 261.00, 52.00, 38.00, 43.80, 41.20, 260.20, 49.60, 33.20, -1, -0.083226, -1, -1
35), 41.00, 38.00, 257.00, 48.00, 41.00, 43.40, 39.00, 259.80, 49.00, 33.20, -1, -0.072516, -1, -1
36), 46.00, 38.00, 259.00, 46.00, 26.00, 44.00, 39.00, 259.80, 48.60, 32.20, -1, -0.073264, -1, -1
37), 44.00, 36.00, 259.00, 51.00, 34.00, 44.00, 39.00, 259.40, 49.60, 33.40, -1, -0.081423, -1, -1
38), 43.00, 49.00, 257.00, 52.00, 39.00, 43.40, 42.00, 258.60, 49.80, 35.60, -1, -0.087058, -1, -1
39), 43.00, 38.00, 261.00, 46.00, 38.00, 43.40, 39.80, 258.60, 48.60, 35.60, -1, -0.050656, -1, -1
40), 44.00, 49.00, 261.00, 44.00, 28.00, 44.00, 42.00, 259.40, 47.80, 33.00, -1, -0.079252, -1, -1
41), 44.00, 36.00, 254.00, 51.00, 41.00, 43.60, 41.60, 258.40, 48.80, 36.00, -1, -0.084322, -1, -1
42), 43.00, 38.00, 262.00, 49.00, 38.00, 43.40, 42.00, 259.00, 48.40, 36.80, -1, -0.061664, -1, -1
43), 43.00, 39.00, 261.00, 51.00, 39.00, 43.40, 40.00, 259.80, 48.20, 36.80, -1, -0.064289, -1, -1
44), 43.00, 41.00, 254.00, 51.00, 38.00, 43.40, 40.60, 258.40, 49.20, 36.80, -1, -0.084515, -1, -1
45), 43.00, 39.00, 254.00, 51.00, 39.00, 43.20, 38.60, 257.00, 50.60, 39.00, -1, -0.087764, -1, -1
46), 43.00, 36.00, 259.00, 48.00, 41.00, 43.00, 38.60, 258.00, 50.00, 39.00, -1, -0.065838, -1, -1
47), 44.00, 38.00, 256.00, 46.00, 31.00, 43.20, 38.60, 256.80, 49.40, 37.60, -1, -0.077693, -1, -1
48), 41.00, 38.00, 257.00, 46.00, 41.00, 42.80, 38.40, 256.00, 48.40, 38.00, -1, -0.063945, -1, -1
49), 46.00, 44.00, 261.00, 46.00, 26.00, 43.40, 39.00, 257.40, 47.40, 35.60, -1, -0.078997, -1, -1
50), 48.00, 36.00, 256.00, 52.00, 43.00, 44.40, 38.40, 257.80, 47.60, 36.40, -1, -0.079081, -1, -1
51), 43.00, 38.00, 256.00, 31.00, 39.00, 44.40, 38.80, 257.20, 44.20, 36.00, -1, -0.045734, -1, 1
52), 48.00, 41.00, 259.00, 29.00, 26.00, 45.20, 39.40, 257.80, 40.80, 35.00, -1, -0.022564, -1, 1
53), 46.00, 34.00, 256.00, 34.00, 29.00, 46.20, 38.60, 257.60, 38.40, 32.60, -1, -0.005359, -1, 1
54), 46.00, 36.00, 261.00, 38.00, 41.00, 46.20, 37.00, 257.60, 36.80, 35.60, 1, 0.032577, -1, 1
55), 41.00, 38.00, 254.00, 36.00, 38.00, 44.80, 37.40, 257.20, 33.60, 34.60, -1, -0.018418, -1, 1
56), 44.00, 39.00, 261.00, 31.00, 38.00, 45.00, 37.60, 258.20, 33.60, 34.40, 1, 0.024182, -1, 1
57), 44.00, 39.00, 261.00, 31.00, 28.00, 44.20, 37.20, 258.60, 34.00, 34.80, 1, 0.032663, 1, 1
58), 46.00, 38.00, 261.00, 31.00, 28.00, 44.20, 38.00, 259.60, 33.40, 34.60, 1, 0.043687, 1, 1
59), 43.00, 33.00, 259.00, 38.00, 41.00, 43.60, 37.40, 259.20, 33.40, 34.60, 1, 0.024714, 1, 1
60), 41.00, 38.00, 259.00, 34.00, 41.00, 43.60, 37.40, 260.20, 33.00, 35.20, 1, 0.038250, 1, 1
61), 44.00, 36.00, 256.00, 31.00, 29.00, 43.60, 36.80, 259.20, 33.00, 33.40, 1, 0.004580, 1, 1
62), 48.00, 36.00, 262.00, 34.00, 28.00, 44.40, 36.20, 259.40, 33.60, 33.40, 1, 0.039105, 1, 1
63), 43.00, 36.00, 259.00, 31.00, 26.00, 43.80, 35.80, 259.00, 33.60, 33.00, 1, 0.014813, 1, 1
64), 43.00, 34.00, 261.00, 34.00, 39.00, 43.80, 36.00, 259.40, 32.80, 32.60, 1, 0.021849, 1, 1
65), 41.00, 41.00, 261.00, 38.00, 39.00, 43.80, 36.60, 259.80, 33.60, 32.20, 1, 0.032275, 1, 1
66), 44.00, 38.00, 262.00, 31.00, 33.00, 43.80, 37.00, 261.00, 33.60, 33.00, 1, 0.052524, 1, 1
67), 48.00, 41.00, 259.00, 31.00, 26.00, 43.80, 38.00, 260.40, 33.00, 32.60, 1, 0.025181, 1, 1
68), 46.00, 34.00, 261.00, 36.00, 39.00, 44.40, 37.60, 260.80, 34.00, 35.20, 1, 0.046110, 1, 1
69), 46.00, 34.00, 257.00, 36.00, 34.00, 45.00, 37.60, 260.00, 34.40, 34.20, 1, 0.023241, 1, 1
70), 44.00, 34.00, 256.00, 38.00, 38.00, 45.60, 36.20, 259.00, 34.40, 34.00, 1, 0.008206, 1, 1
71), 44.00, 41.00, 259.00, 33.00, 39.00, 45.60, 36.80, 258.40, 34.80, 35.20, 1, 0.022385, 1, 1
