

New occurence at: 2021-03-01 11:25:19.740186, Trojan name: HT1_1 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec 
rbf  , 0.009  , 0.015  ,  0.7909  , 0.81191  , 0.90303  , 0.73753  , 768.8 
rbf  , 0.009  , 0.017  ,  0.7935  , 0.81198  , 0.89206  , 0.74512  , 863.8 
rbf  , 0.009  , 0.019  ,  0.7914  , 0.80758  , 0.87597  , 0.74912  , 961.0 
rbf  , 0.009  , 0.021  ,  0.7922  , 0.80608  , 0.86418  , 0.75534  , 1056.6 
rbf  , 0.009  , 0.023  ,  0.7919  , 0.80368  , 0.85236  , 0.76029  , 1154.6 
rbf  , 0.009  , 0.025  ,  0.7907  , 0.80003  , 0.83764  , 0.76571  , 1254.2 
rbf  , 0.011  , 0.001  ,  0.599  , 0.70998  , 0.98219  , 0.556  , 135.2 
rbf  , 0.011  , 0.003  ,  0.7152  , 0.77355  , 0.97321  , 0.64194  , 218.0 
rbf  , 0.011  , 0.005  ,  0.7523  , 0.79519  , 0.96237  , 0.67757  , 311.0 
rbf  , 0.011  , 0.007  ,  0.7673  , 0.80294  , 0.94877  , 0.69603  , 408.4 
rbf  , 0.011  , 0.009  ,  0.7767  , 0.80765  , 0.93819  , 0.70907  , 496.4 
rbf  , 0.011  , 0.011  ,  0.7853  , 0.81228  , 0.92977  , 0.72122  , 581.2 
rbf  , 0.011  , 0.013  ,  0.7883  , 0.81221  , 0.9162  , 0.72946  , 671.0 
rbf  , 0.011  , 0.015  ,  0.791  , 0.81198  , 0.90303  , 0.73765  , 769.6 
rbf  , 0.011  , 0.017  ,  0.7931  , 0.81154  , 0.89124  , 0.74495  , 863.4 
rbf  , 0.011  , 0.019  ,  0.7914  , 0.80754  , 0.87576  , 0.7492  , 961.6 
rbf  , 0.011  , 0.021  ,  0.7922  , 0.80608  , 0.86418  , 0.75534  , 1059.2 
rbf  , 0.011  , 0.023  ,  0.7917  , 0.80353  , 0.85238  , 0.76003  , 1157.0 
rbf  , 0.011  , 0.025  ,  0.7908  , 0.8001  , 0.83762  , 0.76584  , 1257.0 
rbf  , 0.013  , 0.001  ,  0.6003  , 0.71026  , 0.98037  , 0.55694  , 149.8 
rbf  , 0.013  , 0.003  ,  0.7162  , 0.77394  , 0.97199  , 0.64302  , 225.2 
rbf  , 0.013  , 0.005  ,  0.7526  , 0.79532  , 0.96197  , 0.67795  , 313.0 
rbf  , 0.013  , 0.007  ,  0.7674  , 0.80305  , 0.94898  , 0.69608  , 408.8 
rbf  , 0.013  , 0.009  ,  0.777  , 0.80793  , 0.9386  , 0.70927  , 496.6 
rbf  , 0.013  , 0.011  ,  0.7855  , 0.81246  , 0.92998  , 0.72138  , 582.2 
rbf  , 0.013  , 0.013  ,  0.7882  , 0.8121  , 0.916  , 0.72941  , 672.2 
rbf  , 0.013  , 0.015  ,  0.7909  , 0.81191  , 0.90303  , 0.73753  , 770.2 
rbf  , 0.013  , 0.017  ,  0.7934  , 0.81183  , 0.89165  , 0.74516  , 865.8 
rbf  , 0.013  , 0.019  ,  0.7914  , 0.80762  , 0.87616  , 0.74904  , 962.8 
rbf  , 0.013  , 0.021  ,  0.792  , 0.80586  , 0.86378  , 0.75525  , 1058.8 
rbf  , 0.013  , 0.023  ,  0.792  , 0.8038  , 0.85258  , 0.76034  , 1157.4 
rbf  , 0.013  , 0.025  ,  0.7909  , 0.80022  , 0.83783  , 0.76589  , 1258.2 
rbf  , 0.015  , 0.001  ,  0.6011  , 0.71025  , 0.97837  , 0.55756  , 162.2 
rbf  , 0.015  , 0.003  ,  0.7184  , 0.77508  , 0.97078  , 0.64511  , 232.6 
rbf  , 0.015  , 0.005  ,  0.7522  , 0.79488  , 0.96096  , 0.67782  , 315.2 
rbf  , 0.015  , 0.007  ,  0.7675  , 0.80312  , 0.94898  , 0.69618  , 409.0 
rbf  , 0.015  , 0.009  ,  0.7771  , 0.80796  , 0.9384  , 0.70943  , 496.8 
rbf  , 0.015  , 0.011  ,  0.7854  , 0.81239  , 0.92998  , 0.72127  , 582.0 
rbf  , 0.015  , 0.013  ,  0.7884  , 0.81231  , 0.91639  , 0.7295  , 674.0 
rbf  , 0.015  , 0.015  ,  0.7911  , 0.81209  , 0.90322  , 0.73769  , 770.2 
rbf  , 0.015  , 0.017  ,  0.7933  , 0.81175  , 0.89165  , 0.74503  , 865.6 
rbf  , 0.015  , 0.019  ,  0.7915  , 0.80775  , 0.87655  , 0.74899  , 964.4 
rbf  , 0.015  , 0.021  ,  0.7921  , 0.80601  , 0.86418  , 0.75521  , 1060.4 
rbf  , 0.015  , 0.023  ,  0.7919  , 0.80369  , 0.85238  , 0.7603  , 1158.0 
rbf  , 0.015  , 0.025  ,  0.7909  , 0.80018  , 0.83762  , 0.76598  , 1257.8 
rbf  , 0.017  , 0.001  ,  0.6018  , 0.7101  , 0.97596  , 0.55815  , 175.8 
rbf  , 0.017  , 0.003  ,  0.72  , 0.77581  , 0.96937  , 0.64675  , 242.6 
rbf  , 0.017  , 0.005  ,  0.7522  , 0.79467  , 0.95975  , 0.67811  , 318.6 
rbf  , 0.017  , 0.007  ,  0.7675  , 0.80311  , 0.94897  , 0.69618  , 410.2 
rbf  , 0.017  , 0.009  ,  0.7773  , 0.80813  , 0.9386  , 0.70959  , 497.0 
rbf  , 0.017  , 0.011  ,  0.7853  , 0.81232  , 0.92998  , 0.72116  , 582.6 
rbf  , 0.017  , 0.013  ,  0.7882  , 0.8121  , 0.916  , 0.72941  , 673.2 
rbf  , 0.017  , 0.015  ,  0.791  , 0.81198  , 0.90303  , 0.73765  , 771.0 
rbf  , 0.017  , 0.017  ,  0.7933  , 0.81176  , 0.89165  , 0.74503  , 866.0 
rbf  , 0.017  , 0.019  ,  0.7916  , 0.8078  , 0.87635  , 0.7492  , 965.4 
rbf  , 0.017  , 0.021  ,  0.7921  , 0.80597  , 0.86398  , 0.75529  , 1060.4 
rbf  , 0.017  , 0.023  ,  0.7918  , 0.80365  , 0.85258  , 0.76007  , 1159.6 
rbf  , 0.017  , 0.025  ,  0.7906  , 0.79995  , 0.83762  , 0.76556  , 1259.6 
rbf  , 0.019  , 0.001  ,  0.603  , 0.71048  , 0.97478  , 0.559  , 189.0 
rbf  , 0.019  , 0.003  ,  0.7216  , 0.77647  , 0.96757  , 0.64849  , 254.6 
rbf  , 0.019  , 0.005  ,  0.7529  , 0.795  , 0.95895  , 0.67898  , 325.8 
rbf  , 0.019  , 0.007  ,  0.7679  , 0.80335  , 0.94878  , 0.69664  , 412.2 
rbf  , 0.019  , 0.009  ,  0.7771  , 0.80792  , 0.93819  , 0.7095  , 496.8 
rbf  , 0.019  , 0.011  ,  0.7854  , 0.81239  , 0.92998  , 0.72127  , 583.2 
rbf  , 0.019  , 0.013  ,  0.7882  , 0.8121  , 0.916  , 0.72941  , 673.4 
rbf  , 0.019  , 0.015  ,  0.791  , 0.81198  , 0.90303  , 0.73765  , 772.0 
rbf  , 0.019  , 0.017  ,  0.7934  , 0.81183  , 0.89165  , 0.74516  , 866.0 
rbf  , 0.019  , 0.019  ,  0.7913  , 0.80754  , 0.87615  , 0.7489  , 965.6 
rbf  , 0.019  , 0.021  ,  0.7922  , 0.80612  , 0.86439  , 0.75525  , 1061.0 
rbf  , 0.019  , 0.023  ,  0.7918  , 0.80364  , 0.85257  , 0.76007  , 1159.2 
rbf  , 0.019  , 0.025  ,  0.7908  , 0.80014  , 0.83783  , 0.76575  , 1260.8 
rbf  , 0.021  , 0.001  ,  0.6036  , 0.71028  , 0.97238  , 0.55955  , 206.0 
rbf  , 0.021  , 0.003  ,  0.723  , 0.77691  , 0.96515  , 0.65019  , 269.2 
rbf  , 0.021  , 0.005  ,  0.7532  , 0.79507  , 0.95816  , 0.67948  , 334.6 
rbf  , 0.021  , 0.007  ,  0.7678  , 0.80321  , 0.94838  , 0.69665  , 414.6 
rbf  , 0.021  , 0.009  ,  0.7773  , 0.8081  , 0.93839  , 0.70965  , 497.0 
