

New occurence at: 2021-03-01 11:25:19.740186, Trojan name: HT1_1 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec 
rbf  , 0.0007  , 0.014  ,  0.8879  , 0.88459  , 0.86043  , 0.91043  , 514.0  ,  4318   , 682  , 462  , 4538
rbf  , 0.0008  , 0.008  ,  0.8948  , 0.89671  , 0.91422  , 0.88014  , 344.0  ,  4569   , 431  , 630  , 4370
rbf  , 0.0008  , 0.009  ,  0.8943  , 0.89531  , 0.90479  , 0.88634  , 376.0  ,  4518   , 482  , 597  , 4403
rbf  , 0.0008  , 0.01  ,  0.8948  , 0.89499  , 0.89725  , 0.893  , 406.0  ,  4468   , 532  , 569  , 4431
rbf  , 0.0008  , 0.011  ,  0.8929  , 0.8921  , 0.88639  , 0.89818  , 435.0  ,  4434   , 566  , 533  , 4467
rbf  , 0.0008  , 0.012  ,  0.8913  , 0.88968  , 0.87779  , 0.90218  , 465.0  ,  4406   , 594  , 504  , 4496
rbf  , 0.0008  , 0.013  ,  0.8894  , 0.88688  , 0.86839  , 0.9065  , 495.0  ,  4370   , 630  , 485  , 4515
rbf  , 0.0008  , 0.014  ,  0.8889  , 0.8857  , 0.86205  , 0.91103  , 522.0  ,  4330   , 670  , 462  , 4538
rbf  , 0.0009  , 0.008  ,  0.8949  , 0.89676  , 0.91386  , 0.88059  , 346.0  ,  4571   , 429  , 627  , 4373
rbf  , 0.0009  , 0.009  ,  0.8943  , 0.89535  , 0.90519  , 0.88605  , 378.0  ,  4520   , 480  , 595  , 4405
rbf  , 0.0009  , 0.01  ,  0.8944  , 0.89457  , 0.89681  , 0.89265  , 408.0  ,  4480   , 520  , 564  , 4436
rbf  , 0.0009  , 0.011  ,  0.8929  , 0.89221  , 0.88737  , 0.89737  , 440.0  ,  4434   , 566  , 534  , 4466
rbf  , 0.0009  , 0.012  ,  0.8929  , 0.89139  , 0.88001  , 0.90339  , 469.0  ,  4398   , 602  , 508  , 4492
rbf  , 0.0009  , 0.013  ,  0.8899  , 0.8874  , 0.86883  , 0.90709  , 499.0  ,  4368   , 632  , 484  , 4516
rbf  , 0.0009  , 0.014  ,  0.8878  , 0.88447  , 0.86054  , 0.91009  , 528.0  ,  4335   , 665  , 466  , 4534
rbf  , 0.001  , 0.008  ,  0.8955  , 0.8974  , 0.91502  , 0.88072  , 350.0  ,  4569   , 431  , 628  , 4372
rbf  , 0.001  , 0.009  ,  0.8946  , 0.89558  , 0.90483  , 0.88689  , 382.0  ,  4525   , 475  , 598  , 4402
rbf  , 0.001  , 0.01  ,  0.895  , 0.89516  , 0.89721  , 0.89341  , 411.0  ,  4476   , 524  , 565  , 4435
rbf  , 0.001  , 0.011  ,  0.8926  , 0.89184  , 0.88658  , 0.89744  , 444.0  ,  4441   , 559  , 535  , 4465
rbf  , 0.001  , 0.012  ,  0.8927  , 0.89116  , 0.87961  , 0.90327  , 472.0  ,  4402   , 598  , 510  , 4490
rbf  , 0.001  , 0.013  ,  0.89  , 0.8876  , 0.86961  , 0.90665  , 502.0  ,  4363   , 637  , 486  , 4514
rbf  , 0.001  , 0.014  ,  0.888  , 0.88473  , 0.86083  , 0.91032  , 533.0  ,  4333   , 667  , 464  , 4536
rbf  , 0.0011  , 0.008  ,  0.8948  , 0.89662  , 0.91341  , 0.8807  , 349.0  ,  4577   , 423  , 628  , 4372
rbf  , 0.0011  , 0.009  ,  0.8951  , 0.89616  , 0.90621  , 0.8867  , 382.0  ,  4520   , 480  , 599  , 4401
rbf  , 0.0011  , 0.01  ,  0.8943  , 0.89445  , 0.89677  , 0.89245  , 413.0  ,  4472   , 528  , 566  , 4434
rbf  , 0.0011  , 0.011  ,  0.8932  , 0.89251  , 0.88792  , 0.89737  , 444.0  ,  4435   , 565  , 533  , 4467
rbf  , 0.0011  , 0.012  ,  0.8918  , 0.89019  , 0.8784  , 0.90263  , 476.0  ,  4400   , 600  , 505  , 4495
rbf  , 0.0011  , 0.013  ,  0.8898  , 0.88727  , 0.86861  , 0.90705  , 505.0  ,  4370   , 630  , 484  , 4516
rbf  , 0.0011  , 0.014  ,  0.8879  , 0.88456  , 0.86036  , 0.91048  , 536.0  ,  4339   , 661  , 464  , 4536
rbf  , 0.0012  , 0.008  ,  0.8953  , 0.89717  , 0.9146  , 0.88068  , 352.0  ,  4569   , 431  , 629  , 4371
rbf  , 0.0012  , 0.009  ,  0.8959  , 0.8969  , 0.90641  , 0.88792  , 384.0  ,  4515   , 485  , 597  , 4403
rbf  , 0.0012  , 0.01  ,  0.8962  , 0.89638  , 0.89897  , 0.89411  , 415.0  ,  4474   , 526  , 559  , 4441
rbf  , 0.0012  , 0.011  ,  0.8938  , 0.89322  , 0.88919  , 0.89752  , 448.0  ,  4435   , 565  , 535  , 4465
rbf  , 0.0012  , 0.012  ,  0.892  , 0.89034  , 0.87802  , 0.90336  , 480.0  ,  4398   , 602  , 508  , 4492
rbf  , 0.0012  , 0.013  ,  0.89  , 0.88754  , 0.86942  , 0.90678  , 510.0  ,  4380   , 620  , 481  , 4519
rbf  , 0.0012  , 0.014  ,  0.8886  , 0.88538  , 0.86178  , 0.91061  , 535.0  ,  4333   , 667  , 461  , 4539
rbf  , 0.0013  , 0.008  ,  0.8947  , 0.89662  , 0.91405  , 0.88012  , 353.0  ,  4567   , 433  , 632  , 4368
rbf  , 0.0013  , 0.009  ,  0.8952  , 0.89625  , 0.90604  , 0.88703  , 386.0  ,  4513   , 487  , 595  , 4405
rbf  , 0.0013  , 0.01  ,  0.895  , 0.89515  , 0.89738  , 0.89322  , 419.0  ,  4472   , 528  , 561  , 4439
rbf  , 0.0013  , 0.011  ,  0.8934  , 0.8928  , 0.88877  , 0.89713  , 449.0  ,  4434   , 566  , 536  , 4464
rbf  , 0.0013  , 0.012  ,  0.8916  , 0.88998  , 0.87799  , 0.90257  , 482.0  ,  4398   , 602  , 509  , 4491
rbf  , 0.0013  , 0.013  ,  0.8897  , 0.88723  , 0.86901  , 0.90654  , 511.0  ,  4373   , 627  , 484  , 4516
rbf  , 0.0013  , 0.014  ,  0.889  , 0.88576  , 0.86216  , 0.91103  , 540.0  ,  4332   , 668  , 463  , 4537
rbf  , 0.0014  , 0.008  ,  0.895  , 0.89691  , 0.91443  , 0.88036  , 354.0  ,  4571   , 429  , 629  , 4371
rbf  , 0.0014  , 0.009  ,  0.8952  , 0.89628  , 0.90641  , 0.88672  , 386.0  ,  4524   , 476  , 599  , 4401
rbf  , 0.0014  , 0.01  ,  0.8952  , 0.89533  , 0.89722  , 0.89373  , 418.0  ,  4475   , 525  , 561  , 4439
rbf  , 0.0014  , 0.011  ,  0.8935  , 0.89285  , 0.88838  , 0.89766  , 450.0  ,  4437   , 563  , 539  , 4461
rbf  , 0.0014  , 0.012  ,  0.8929  , 0.89136  , 0.87963  , 0.90371  , 482.0  ,  4403   , 597  , 503  , 4497
rbf  , 0.0014  , 0.013  ,  0.8897  , 0.88726  , 0.8692  , 0.90638  , 514.0  ,  4372   , 628  , 482  , 4518
rbf  , 0.0014  , 0.014  ,  0.8881  , 0.88483  , 0.861  , 0.91034  , 543.0  ,  4329   , 671  , 463  , 4537

Best params: nu = 0.001  , gamma = 0.008  , F1_score = 0.8974  


New occurence at: 2021-03-01 22:45:21.855412, Trojan name: HT1_2 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec, TP   , FN   , FP   , TN 
rbf  , 0.0005  , 0.001  ,  0.6533  , 0.73797  , 0.97782  , 0.59291  , 84.0  ,  4899   , 101  , 3296  , 1704
rbf  , 0.0005  , 0.002  ,  0.7827  , 0.81524  , 0.95981  , 0.70887  , 140.0  ,  4815   , 185  , 1872  , 3128
rbf  , 0.0005  , 0.003  ,  0.8494  , 0.86305  , 0.95015  , 0.79072  , 176.0  ,  4775   , 225  , 1121  , 3879
rbf  , 0.0005  , 0.004  ,  0.8768  , 0.88447  , 0.94374  , 0.83235  , 204.0  ,  4734   , 266  , 857  , 4143
rbf  , 0.0005  , 0.005  ,  0.886  , 0.89137  , 0.93556  , 0.85128  , 236.0  ,  4691   , 309  , 744  , 4256
rbf  , 0.0005  , 0.006  ,  0.8883  , 0.89236  , 0.92582  , 0.86139  , 268.0  ,  4636   , 364  , 684  , 4316
rbf  , 0.0005  , 0.007  ,  0.8901  , 0.89289  , 0.91573  , 0.87133  , 303.0  ,  4594   , 406  , 625  , 4375
rbf  , 0.0005  , 0.008  ,  0.891  , 0.89291  , 0.90865  , 0.87784  , 330.0  ,  4563   , 437  , 591  , 4409
rbf  , 0.0005  , 0.009  ,  0.8918  , 0.89268  , 0.90007  , 0.88553  , 359.0  ,  4513   , 487  , 565  , 4435
rbf  , 0.0005  , 0.01  ,  0.8904  , 0.8904  , 0.89097  , 0.88993  , 388.0  ,  4490   , 510  , 528  , 4472
rbf  , 0.0005  , 0.011  ,  0.889  , 0.88814  , 0.88228  , 0.8942  , 415.0  ,  4462   , 538  , 517  , 4483
rbf  , 0.0006  , 0.001  ,  0.6532  , 0.73787  , 0.97763  , 0.59287  , 84.0  ,  4902   , 98  , 3290  , 1710
rbf  , 0.0006  , 0.002  ,  0.7807  , 0.81396  , 0.96043  , 0.70658  , 139.0  ,  4824   , 176  , 1883  , 3117
rbf  , 0.0006  , 0.003  ,  0.849  , 0.86279  , 0.95021  , 0.79024  , 177.0  ,  4774   , 226  , 1132  , 3868
rbf  , 0.0006  , 0.004  ,  0.8778  , 0.88542  , 0.94458  , 0.83337  , 208.0  ,  4742   , 258  , 853  , 4147
rbf  , 0.0006  , 0.005  ,  0.8863  , 0.89157  , 0.93512  , 0.85201  , 241.0  ,  4694   , 306  , 740  , 4260
rbf  , 0.0006  , 0.006  ,  0.8893  , 0.89339  , 0.92758  , 0.8618  , 275.0  ,  4649   , 351  , 679  , 4321
rbf  , 0.0006  , 0.007  ,  0.8908  , 0.89371  , 0.91808  , 0.87075  , 306.0  ,  4603   , 397  , 626  , 4374
rbf  , 0.0006  , 0.008  ,  0.8916  , 0.89345  , 0.90867  , 0.87887  , 336.0  ,  4560   , 440  , 590  , 4410
rbf  , 0.0006  , 0.009  ,  0.8919  , 0.89289  , 0.90106  , 0.88497  , 367.0  ,  4523   , 477  , 567  , 4433
rbf  , 0.0006  , 0.01  ,  0.8907  , 0.89084  , 0.89234  , 0.88945  , 396.0  ,  4491   , 509  , 534  , 4466
rbf  , 0.0006  , 0.011  ,  0.8902  , 0.88947  , 0.88432  , 0.89478  , 423.0  ,  4471   , 529  , 509  , 4491
rbf  , 0.0007  , 0.001  ,  0.654  , 0.73847  , 0.97841  , 0.59333  , 84.0  ,  4901   , 99  , 3293  , 1707
rbf  , 0.0007  , 0.002  ,  0.7809  , 0.814  , 0.95985  , 0.70696  , 141.0  ,  4821   , 179  , 1888  , 3112
rbf  , 0.0007  , 0.003  ,  0.8494  , 0.86299  , 0.94937  , 0.79116  , 178.0  ,  4773   , 227  , 1139  , 3861
rbf  , 0.0007  , 0.004  ,  0.8765  , 0.88418  , 0.94316  , 0.83227  , 209.0  ,  4732   , 268  , 852  , 4148
rbf  , 0.0007  , 0.005  ,  0.886  , 0.89135  , 0.93553  , 0.85127  , 243.0  ,  4702   , 298  , 741  , 4259
rbf  , 0.0007  , 0.006  ,  0.8888  , 0.89287  , 0.92661  , 0.86165  , 277.0  ,  4643   , 357  , 677  , 4323
rbf  , 0.0007  , 0.007  ,  0.891  , 0.89381  , 0.9173  , 0.87167  , 311.0  ,  4603   , 397  , 624  , 4376
rbf  , 0.0007  , 0.008  ,  0.8917  , 0.89357  , 0.90905  , 0.87875  , 344.0  ,  4567   , 433  , 590  , 4410
rbf  , 0.0007  , 0.009  ,  0.8915  , 0.89232  , 0.89939  , 0.88547  , 371.0  ,  4531   , 469  , 563  , 4437
rbf  , 0.0007  , 0.01  ,  0.8908  , 0.89081  , 0.89121  , 0.89052  , 400.0  ,  4490   , 510  , 528  , 4472
rbf  , 0.0007  , 0.011  ,  0.8899  , 0.8892  , 0.88434  , 0.89421  , 428.0  ,  4463   , 537  , 512  , 4488
rbf  , 0.0008  , 0.001  ,  0.6532  , 0.73778  , 0.97721  , 0.59288  , 85.0  ,  4900   , 100  , 3287  , 1713
rbf  , 0.0008  , 0.002  ,  0.7823  , 0.81503  , 0.96022  , 0.70831  , 141.0  ,  4820   , 180  , 1880  , 3120
rbf  , 0.0008  , 0.003  ,  0.8491  , 0.86272  , 0.94917  , 0.79084  , 178.0  ,  4781   , 219  , 1146  , 3854
rbf  , 0.0008  , 0.004  ,  0.8771  , 0.88474  , 0.94378  , 0.83279  , 212.0  ,  4746   , 254  , 864  , 4136
rbf  , 0.0008  , 0.005  ,  0.8859  , 0.89123  , 0.93526  , 0.85127  , 245.0  ,  4696   , 304  , 735  , 4265
rbf  , 0.0008  , 0.006  ,  0.8881  , 0.89217  , 0.92597  , 0.86091  , 281.0  ,  4642   , 358  , 679  , 4321
rbf  , 0.0008  , 0.007  ,  0.8909  , 0.89385  , 0.91852  , 0.87061  , 314.0  ,  4600   , 400  , 633  , 4367
rbf  , 0.0008  , 0.008  ,  0.8921  , 0.89403  , 0.90986  , 0.87888  , 347.0  ,  4559   , 441  , 586  , 4414
rbf  , 0.0008  , 0.009  ,  0.8919  , 0.89277  , 0.89985  , 0.88592  , 375.0  ,  4530   , 470  , 561  , 4439
rbf  , 0.0008  , 0.01  ,  0.8921  , 0.89218  , 0.8932  , 0.89129  , 404.0  ,  4484   , 516  , 532  , 4468
rbf  , 0.0008  , 0.011  ,  0.8903  , 0.88961  , 0.88457  , 0.89481  , 435.0  ,  4466   , 534  , 507  , 4493
rbf  , 0.0009  , 0.001  ,  0.6534  , 0.73801  , 0.9778  , 0.59296  , 86.0  ,  4901   , 99  , 3284  , 1716
rbf  , 0.0009  , 0.002  ,  0.7816  , 0.81451  , 0.96001  , 0.70764  , 143.0  ,  4821   , 179  , 1875  , 3125
rbf  , 0.0009  , 0.003  ,  0.8485  , 0.86224  , 0.94919  , 0.79004  , 179.0  ,  4775   , 225  , 1137  , 3863
rbf  , 0.0009  , 0.004  ,  0.8764  , 0.88414  , 0.94341  , 0.83203  , 212.0  ,  4741   , 259  , 864  , 4136
rbf  , 0.0009  , 0.005  ,  0.8854  , 0.89078  , 0.93492  , 0.85072  , 247.0  ,  4699   , 301  , 747  , 4253
rbf  , 0.0009  , 0.006  ,  0.8883  , 0.8924  , 0.92636  , 0.86099  , 282.0  ,  4649   , 351  , 679  , 4321
rbf  , 0.0009  , 0.007  ,  0.8914  , 0.89424  , 0.91793  , 0.87191  , 315.0  ,  4601   , 399  , 619  , 4381
rbf  , 0.0009  , 0.008  ,  0.8919  , 0.8938  , 0.90929  , 0.87897  , 349.0  ,  4574   , 426  , 589  , 4411
rbf  , 0.0009  , 0.009  ,  0.8918  , 0.89275  , 0.90047  , 0.88526  , 377.0  ,  4530   , 470  , 565  , 4435
rbf  , 0.0009  , 0.01  ,  0.8918  , 0.89188  , 0.89283  , 0.89105  , 408.0  ,  4497   , 503  , 531  , 4469
rbf  , 0.0009  , 0.011  ,  0.8902  , 0.88945  , 0.88382  , 0.8953  , 438.0  ,  4467   , 533  , 507  , 4493
rbf  , 0.001  , 0.001  ,  0.6536  , 0.73825  , 0.9784  , 0.59306  , 85.0  ,  4901   , 99  , 3293  , 1707
rbf  , 0.001  , 0.002  ,  0.7815  , 0.81447  , 0.96021  , 0.70746  , 142.0  ,  4820   , 180  , 1880  , 3120
rbf  , 0.001  , 0.003  ,  0.8492  , 0.86283  , 0.94958  , 0.79076  , 180.0  ,  4775   , 225  , 1133  , 3867
rbf  , 0.001  , 0.004  ,  0.8769  , 0.88452  , 0.94332  , 0.83276  , 213.0  ,  4745   , 255  , 864  , 4136
rbf  , 0.001  , 0.005  ,  0.886  , 0.89127  , 0.93469  , 0.85184  , 248.0  ,  4702   , 298  , 747  , 4253
rbf  , 0.001  , 0.006  ,  0.888  , 0.89213  , 0.92636  , 0.86052  , 283.0  ,  4648   , 352  , 674  , 4326
rbf  , 0.001  , 0.007  ,  0.8909  , 0.89384  , 0.91816  , 0.87091  , 316.0  ,  4598   , 402  , 626  , 4374
rbf  , 0.001  , 0.008  ,  0.8925  , 0.89436  , 0.90967  , 0.87969  , 349.0  ,  4571   , 429  , 584  , 4416
rbf  , 0.001  , 0.009  ,  0.8934  , 0.89435  , 0.90208  , 0.88688  , 380.0  ,  4531   , 469  , 560  , 4440
rbf  , 0.001  , 0.01  ,  0.8911  , 0.89118  , 0.89184  , 0.89065  , 411.0  ,  4492   , 508  , 532  , 4468
rbf  , 0.001  , 0.011  ,  0.8905  , 0.88988  , 0.88538  , 0.89456  , 440.0  ,  4466   , 534  , 507  , 4493
rbf  , 0.0011  , 0.001  ,  0.6538  , 0.73832  , 0.97821  , 0.59323  , 85.0  ,  4901   , 99  , 3293  , 1707
rbf  , 0.0011  , 0.002  ,  0.782  , 0.8148  , 0.9602  , 0.70796  , 144.0  ,  4819   , 181  , 1884  , 3116
rbf  , 0.0011  , 0.003  ,  0.8491  , 0.86281  , 0.94998  , 0.79044  , 181.0  ,  4777   , 223  , 1135  , 3865
rbf  , 0.0011  , 0.004  ,  0.8768  , 0.88442  , 0.94313  , 0.83272  , 214.0  ,  4738   , 262  , 866  , 4134
rbf  , 0.0011  , 0.005  ,  0.8857  , 0.89108  , 0.93529  , 0.85096  , 248.0  ,  4699   , 301  , 742  , 4258
rbf  , 0.0011  , 0.006  ,  0.8888  , 0.89294  , 0.92741  , 0.86113  , 284.0  ,  4646   , 354  , 682  , 4318
rbf  , 0.0011  , 0.007  ,  0.8911  , 0.89406  , 0.91874  , 0.87081  , 317.0  ,  4602   , 398  , 637  , 4363
rbf  , 0.0011  , 0.008  ,  0.893  , 0.89488  , 0.91048  , 0.87996  , 350.0  ,  4572   , 428  , 584  , 4416
rbf  , 0.0011  , 0.009  ,  0.8935  , 0.89452  , 0.90286  , 0.88643  , 380.0  ,  4536   , 464  , 562  , 4438
rbf  , 0.0011  , 0.01  ,  0.891  , 0.89114  , 0.89224  , 0.89016  , 412.0  ,  4496   , 504  , 532  , 4468
rbf  , 0.0011  , 0.011  ,  0.8901  , 0.88941  , 0.88437  , 0.89463  , 443.0  ,  4466   , 534  , 506  , 4494
rbf  , 0.0012  , 0.001  ,  0.6536  , 0.73809  , 0.97761  , 0.59315  , 86.0  ,  4902   , 98  , 3289  , 1711
rbf  , 0.0012  , 0.002  ,  0.7821  , 0.81486  , 0.96019  , 0.70809  , 145.0  ,  4824   , 176  , 1880  , 3120
rbf  , 0.0012  , 0.003  ,  0.8495  , 0.86312  , 0.94998  , 0.79097  , 182.0  ,  4778   , 222  , 1133  , 3867
rbf  , 0.0012  , 0.004  ,  0.8765  , 0.88415  , 0.94294  , 0.83239  , 215.0  ,  4739   , 261  , 865  , 4135
rbf  , 0.0012  , 0.005  ,  0.8861  , 0.89144  , 0.93532  , 0.85161  , 250.0  ,  4695   , 305  , 744  , 4256
rbf  , 0.0012  , 0.006  ,  0.8883  , 0.89245  , 0.92694  , 0.86058  , 285.0  ,  4645   , 355  , 680  , 4320
rbf  , 0.0012  , 0.007  ,  0.8906  , 0.89351  , 0.91771  , 0.8707  , 320.0  ,  4598   , 402  , 630  , 4370
rbf  , 0.0012  , 0.008  ,  0.8923  , 0.89414  , 0.90927  , 0.87964  , 353.0  ,  4575   , 425  , 590  , 4410
rbf  , 0.0012  , 0.009  ,  0.8927  , 0.89367  , 0.90186  , 0.88577  , 382.0  ,  4538   , 462  , 560  , 4440
rbf  , 0.0012  , 0.01  ,  0.8916  , 0.89172  , 0.89301  , 0.89056  , 414.0  ,  4491   , 509  , 531  , 4469
rbf  , 0.0012  , 0.011  ,  0.89  , 0.88927  , 0.88394  , 0.89478  , 444.0  ,  4466   , 534  , 506  , 4494
rbf  , 0.0013  , 0.001  ,  0.6531  , 0.73786  , 0.97781  , 0.59278  , 85.0  ,  4902   , 98  , 3289  , 1711
rbf  , 0.0013  , 0.002  ,  0.7811  , 0.81417  , 0.96004  , 0.70713  , 144.0  ,  4818   , 182  , 1877  , 3123
rbf  , 0.0013  , 0.003  ,  0.8492  , 0.863  , 0.95083  , 0.79019  , 182.0  ,  4774   , 226  , 1135  , 3865
rbf  , 0.0013  , 0.004  ,  0.8768  , 0.88446  , 0.94338  , 0.83262  , 215.0  ,  4738   , 262  , 864  , 4136
rbf  , 0.0013  , 0.005  ,  0.8864  , 0.89173  , 0.93574  , 0.85179  , 251.0  ,  4699   , 301  , 744  , 4256
rbf  , 0.0013  , 0.006  ,  0.8884  , 0.89253  , 0.92695  , 0.86072  , 287.0  ,  4646   , 354  , 678  , 4322
rbf  , 0.0013  , 0.007  ,  0.8909  , 0.8938  , 0.91793  , 0.87103  , 321.0  ,  4605   , 395  , 629  , 4371
rbf  , 0.0013  , 0.008  ,  0.8924  , 0.89427  , 0.90949  , 0.87967  , 354.0  ,  4572   , 428  , 590  , 4410
rbf  , 0.0013  , 0.009  ,  0.8929  , 0.89388  , 0.90204  , 0.88597  , 385.0  ,  4527   , 473  , 564  , 4436
rbf  , 0.0013  , 0.01  ,  0.8916  , 0.8918  , 0.89341  , 0.8903  , 416.0  ,  4494   , 506  , 534  , 4466
rbf  , 0.0013  , 0.011  ,  0.8895  , 0.88881  , 0.88375  , 0.89404  , 445.0  ,  4468   , 532  , 508  , 4492
rbf  , 0.0014  , 0.001  ,  0.6534  , 0.73801  , 0.97779  , 0.59297  , 86.0  ,  4900   , 100  , 3289  , 1711
rbf  , 0.0014  , 0.002  ,  0.7817  , 0.8146  , 0.96022  , 0.7077  , 144.0  ,  4816   , 184  , 1879  , 3121
rbf  , 0.0014  , 0.003  ,  0.8498  , 0.86334  , 0.94978  , 0.79147  , 182.0  ,  4777   , 223  , 1136  , 3864
rbf  , 0.0014  , 0.004  ,  0.877  , 0.88462  , 0.94336  , 0.83291  , 215.0  ,  4742   , 258  , 860  , 4140
rbf  , 0.0014  , 0.005  ,  0.8854  , 0.89075  , 0.93471  , 0.85087  , 251.0  ,  4696   , 304  , 743  , 4257
rbf  , 0.0014  , 0.006  ,  0.8886  , 0.89268  , 0.92674  , 0.86119  , 287.0  ,  4645   , 355  , 679  , 4321
rbf  , 0.0014  , 0.007  ,  0.8912  , 0.89413  , 0.91856  , 0.87112  , 322.0  ,  4603   , 397  , 631  , 4369
rbf  , 0.0014  , 0.008  ,  0.8926  , 0.89442  , 0.90945  , 0.88  , 355.0  ,  4573   , 427  , 587  , 4413
rbf  , 0.0014  , 0.009  ,  0.8929  , 0.89399  , 0.90288  , 0.88538  , 384.0  ,  4539   , 461  , 565  , 4435
rbf  , 0.0014  , 0.01  ,  0.8913  , 0.89147  , 0.89302  , 0.89005  , 417.0  ,  4494   , 506  , 531  , 4469
rbf  , 0.0014  , 0.011  ,  0.89  , 0.88936  , 0.88461  , 0.89428  , 447.0  ,  4465   , 535  , 507  , 4493

Best params: nu = 0.0011  , gamma = 0.008  , F1_score = 0.89488  


New occurence at: 2021-03-01 22:50:46.363077, Trojan name: HT1_3 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec, TP   , FN   , FP   , TN 
rbf  , 0.0005  , 0.001  ,  0.6185  , 0.71905  , 0.97688  , 0.56901  , 81.0  ,  4901   , 99  , 3655  , 1345
rbf  , 0.0005  , 0.002  ,  0.7676  , 0.80573  , 0.96315  , 0.69293  , 142.0  ,  4823   , 177  , 1981  , 3019
rbf  , 0.0005  , 0.003  ,  0.8303  , 0.84891  , 0.95321  , 0.76544  , 176.0  ,  4788   , 212  , 1388  , 3612
rbf  , 0.0005  , 0.004  ,  0.8525  , 0.8645  , 0.94139  , 0.79938  , 208.0  ,  4730   , 270  , 1168  , 3832
rbf  , 0.0005  , 0.005  ,  0.8627  , 0.87181  , 0.93403  , 0.81747  , 238.0  ,  4690   , 310  , 1026  , 3974
rbf  , 0.0005  , 0.006  ,  0.8697  , 0.87679  , 0.92781  , 0.83122  , 274.0  ,  4634   , 366  , 909  , 4091
rbf  , 0.0005  , 0.007  ,  0.8722  , 0.87763  , 0.91721  , 0.84145  , 303.0  ,  4594   , 406  , 836  , 4164
rbf  , 0.0005  , 0.008  ,  0.8756  , 0.87966  , 0.90998  , 0.85142  , 332.0  ,  4548   , 452  , 767  , 4233
rbf  , 0.0005  , 0.009  ,  0.8761  , 0.87891  , 0.89958  , 0.85931  , 362.0  ,  4500   , 500  , 719  , 4281
rbf  , 0.0005  , 0.01  ,  0.8755  , 0.87695  , 0.88793  , 0.8664  , 391.0  ,  4442   , 558  , 678  , 4322
rbf  , 0.0005  , 0.011  ,  0.8751  , 0.87539  , 0.87811  , 0.87289  , 419.0  ,  4391   , 609  , 622  , 4378
rbf  , 0.0006  , 0.001  ,  0.6182  , 0.71895  , 0.97711  , 0.56881  , 82.0  ,  4901   , 99  , 3663  , 1337
rbf  , 0.0006  , 0.002  ,  0.7667  , 0.80501  , 0.96254  , 0.69218  , 142.0  ,  4818   , 182  , 1999  , 3001
rbf  , 0.0006  , 0.003  ,  0.8318  , 0.85008  , 0.95359  , 0.76709  , 177.0  ,  4784   , 216  , 1391  , 3609
rbf  , 0.0006  , 0.004  ,  0.8517  , 0.8639  , 0.9416  , 0.79822  , 210.0  ,  4733   , 267  , 1170  , 3830
rbf  , 0.0006  , 0.005  ,  0.8628  , 0.87186  , 0.93382  , 0.81769  , 242.0  ,  4694   , 306  , 1039  , 3961
rbf  , 0.0006  , 0.006  ,  0.8693  , 0.8764  , 0.92742  , 0.83082  , 277.0  ,  4637   , 363  , 908  , 4092
rbf  , 0.0006  , 0.007  ,  0.8717  , 0.87726  , 0.91759  , 0.84045  , 308.0  ,  4597   , 403  , 827  , 4173
rbf  , 0.0006  , 0.008  ,  0.8749  , 0.87898  , 0.90913  , 0.85088  , 337.0  ,  4543   , 457  , 768  , 4232
rbf  , 0.0006  , 0.009  ,  0.8765  , 0.87937  , 0.90076  , 0.85913  , 368.0  ,  4489   , 511  , 719  , 4281
rbf  , 0.0006  , 0.01  ,  0.8758  , 0.87733  , 0.8891  , 0.86604  , 400.0  ,  4450   , 550  , 684  , 4316
rbf  , 0.0006  , 0.011  ,  0.876  , 0.8764  , 0.8799  , 0.87308  , 425.0  ,  4400   , 600  , 632  , 4368
rbf  , 0.0007  , 0.001  ,  0.6184  , 0.71909  , 0.97731  , 0.56891  , 82.0  ,  4902   , 98  , 3659  , 1341
rbf  , 0.0007  , 0.002  ,  0.7671  , 0.80519  , 0.96195  , 0.69276  , 142.0  ,  4821   , 179  , 2008  , 2992
rbf  , 0.0007  , 0.003  ,  0.8305  , 0.84889  , 0.9522  , 0.76602  , 179.0  ,  4788   , 212  , 1394  , 3606
rbf  , 0.0007  , 0.004  ,  0.8521  , 0.86419  , 0.9414  , 0.79884  , 212.0  ,  4728   , 272  , 1174  , 3826
rbf  , 0.0007  , 0.005  ,  0.8622  , 0.87136  , 0.93381  , 0.81685  , 244.0  ,  4693   , 307  , 1041  , 3959
rbf  , 0.0007  , 0.006  ,  0.869  , 0.87615  , 0.92738  , 0.83037  , 280.0  ,  4636   , 364  , 905  , 4095
rbf  , 0.0007  , 0.007  ,  0.873  , 0.87842  , 0.91819  , 0.84207  , 313.0  ,  4590   , 410  , 825  , 4175
rbf  , 0.0007  , 0.008  ,  0.876  , 0.88002  , 0.91016  , 0.85193  , 342.0  ,  4547   , 453  , 764  , 4236
rbf  , 0.0007  , 0.009  ,  0.8768  , 0.87971  , 0.90137  , 0.85919  , 371.0  ,  4508   , 492  , 715  , 4285
