

New occurence at: 2021-03-04 17:10:59.023492, Trojan name: HT1_1 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec, TP   , FN   , FP   , TN 
rbf  , 0.015  , 0.0165  ,  0.95024  , 0.95162  , 0.97003  , 0.93392  , 1727.0  ,  24266   , 734  , 1683  , 23317
rbf  , 0.015  , 0.019  ,  0.94952  , 0.95077  , 0.96606  , 0.93596  , 1968.0  ,  24162   , 838  , 1626  , 23374
rbf  , 0.015  , 0.0215  ,  0.9484  , 0.94947  , 0.96083  , 0.93838  , 2258.0  ,  24051   , 949  , 1541  , 23459
rbf  , 0.015  , 0.024  ,  0.94688  , 0.94778  , 0.95528  , 0.94039  , 2546.0  ,  23896   , 1104  , 1462  , 23538
rbf  , 0.0175  , 0.014  ,  0.95072  , 0.95214  , 0.97153  , 0.93351  , 1628.0  ,  24317   , 683  , 1711  , 23289
rbf  , 0.0175  , 0.0165  ,  0.95056  , 0.95184  , 0.96844  , 0.93581  , 1806.0  ,  24225   , 775  , 1641  , 23359
rbf  , 0.0175  , 0.019  ,  0.9498  , 0.95099  , 0.96519  , 0.9372  , 2029.0  ,  24140   , 860  , 1580  , 23420
rbf  , 0.0175  , 0.0215  ,  0.94868  , 0.94969  , 0.95996  , 0.93964  , 2296.0  ,  24032   , 968  , 1521  , 23479
rbf  , 0.0175  , 0.024  ,  0.9474  , 0.94825  , 0.95505  , 0.94155  , 2565.0  ,  23891   , 1109  , 1453  , 23547

Trojan name: HT2_2 - 4 ==> Best params: nu = 0.0175  , gamma = 0.014  , F1_score = 0.95214  


New occurence at: 2021-03-05 01:37:50.322426, Trojan name: HT2_3 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec, TP   , FN   , FP   , TN 
rbf  , 0.004  , 0.001  ,  0.73904  , 0.79327  , 0.99563  , 0.65934  , 287.0  ,  24903   , 97  , 12950  , 12050
rbf  , 0.004  , 0.0035  ,  0.9386  , 0.94216  , 0.99434  , 0.89519  , 405.0  ,  24844   , 156  , 3046  , 21954
rbf  , 0.004  , 0.006  ,  0.94936  , 0.95168  , 0.99188  , 0.91463  , 564.0  ,  24801   , 199  , 2300  , 22700
rbf  , 0.004  , 0.0085  ,  0.95416  , 0.95592  , 0.98846  , 0.92547  , 770.0  ,  24718   , 282  , 1941  , 23059
rbf  , 0.004  , 0.011  ,  0.95732  , 0.95867  , 0.98425  , 0.93441  , 1012.0  ,  24610   , 390  , 1704  , 23296
rbf  , 0.004  , 0.0135  ,  0.95904  , 0.96015  , 0.98084  , 0.94033  , 1268.0  ,  24483   , 517  , 1529  , 23471
rbf  , 0.0065  , 0.001  ,  0.74548  , 0.79695  , 0.99325  , 0.6655  , 437.0  ,  24833   , 167  , 12545  , 12455
rbf  , 0.0065  , 0.0035  ,  0.945  , 0.94779  , 0.99283  , 0.90667  , 529.0  ,  24796   , 204  , 2635  , 22365
rbf  , 0.0065  , 0.006  ,  0.95156  , 0.95362  , 0.99013  , 0.9197  , 656.0  ,  24761   , 239  , 2192  , 22808
rbf  , 0.0065  , 0.0085  ,  0.95532  , 0.95695  , 0.98735  , 0.92837  , 815.0  ,  24701   , 299  , 1901  , 23099
rbf  , 0.0065  , 0.011  ,  0.9576  , 0.95892  , 0.98394  , 0.93517  , 1029.0  ,  24602   , 398  , 1687  , 23313
rbf  , 0.0065  , 0.0135  ,  0.95924  , 0.96034  , 0.98084  , 0.94069  , 1274.0  ,  24485   , 515  , 1522  , 23478
rbf  , 0.009  , 0.001  ,  0.74944  , 0.79919  , 0.9915  , 0.66942  , 584.0  ,  24771   , 229  , 12339  , 12661
rbf  , 0.009  , 0.0035  ,  0.94744  , 0.94986  , 0.99013  , 0.91273  , 669.0  ,  24738   , 262  , 2402  , 22598
rbf  , 0.009  , 0.006  ,  0.95396  , 0.95573  , 0.98838  , 0.92517  , 769.0  ,  24705   , 295  , 2032  , 22968
rbf  , 0.009  , 0.0085  ,  0.95668  , 0.95812  , 0.98537  , 0.93235  , 906.0  ,  24644   , 356  , 1790  , 23210
rbf  , 0.009  , 0.011  ,  0.95868  , 0.9599  , 0.9833  , 0.93761  , 1080.0  ,  24570   , 430  , 1643  , 23357
rbf  , 0.009  , 0.0135  ,  0.95964  , 0.9607  , 0.98037  , 0.94182  , 1295.0  ,  24480   , 520  , 1499  , 23501
rbf  , 0.0115  , 0.001  ,  0.75276  , 0.801  , 0.98951  , 0.67289  , 730.0  ,  24721   , 279  , 12158  , 12842
rbf  , 0.0115  , 0.0035  ,  0.94916  , 0.95128  , 0.98735  , 0.91777  , 813.0  ,  24672   , 328  , 2233  , 22767
rbf  , 0.0115  , 0.006  ,  0.95652  , 0.95799  , 0.98576  , 0.93174  , 905.0  ,  24641   , 359  , 1853  , 23147
rbf  , 0.0115  , 0.0085  ,  0.95828  , 0.95957  , 0.98434  , 0.93603  , 1014.0  ,  24603   , 397  , 1686  , 23314
rbf  , 0.0115  , 0.011  ,  0.9602  , 0.96129  , 0.98242  , 0.94107  , 1161.0  ,  24532   , 468  , 1581  , 23419
rbf  , 0.0115  , 0.0135  ,  0.96044  , 0.96143  , 0.97989  , 0.94366  , 1349.0  ,  24466   , 534  , 1464  , 23536
rbf  , 0.014  , 0.001  ,  0.75532  , 0.80231  , 0.98736  , 0.67574  , 878.0  ,  24660   , 340  , 11985  , 13015
rbf  , 0.014  , 0.0035  ,  0.95064  , 0.95254  , 0.98528  , 0.92192  , 954.0  ,  24620   , 380  , 2104  , 22896
rbf  , 0.014  , 0.006  ,  0.95808  , 0.95939  , 0.98473  , 0.93533  , 1034.0  ,  24588   , 412  , 1730  , 23270
rbf  , 0.014  , 0.0085  ,  0.96032  , 0.96142  , 0.98298  , 0.94079  , 1141.0  ,  24555   , 445  , 1563  , 23437
rbf  , 0.014  , 0.011  ,  0.96172  , 0.96267  , 0.98131  , 0.94474  , 1272.0  ,  24494   , 506  , 1477  , 23523
rbf  , 0.014  , 0.0135  ,  0.96152  , 0.96241  , 0.97886  , 0.94652  , 1437.0  ,  24426   , 574  , 1405  , 23595
rbf  , 0.0165  , 0.001  ,  0.75712  , 0.80316  , 0.98538  , 0.67789  , 1030.0  ,  24598   , 402  , 11810  , 13190
rbf  , 0.0165  , 0.0035  ,  0.9522  , 0.95388  , 0.98306  , 0.92639  , 1100.0  ,  24564   , 436  , 1985  , 23015
rbf  , 0.0165  , 0.006  ,  0.95964  , 0.96077  , 0.98274  , 0.93976  , 1175.0  ,  24541   , 459  , 1620  , 23380
rbf  , 0.0165  , 0.0085  ,  0.96236  , 0.96329  , 0.9818  , 0.94548  , 1266.0  ,  24495   , 505  , 1455  , 23545
rbf  , 0.0165  , 0.011  ,  0.9628  , 0.96365  , 0.98005  , 0.94781  , 1395.0  ,  24441   , 559  , 1363  , 23637
rbf  , 0.0165  , 0.0135  ,  0.96224  , 0.96303  , 0.9775  , 0.949  , 1544.0  ,  24389   , 611  , 1295  , 23705

Trojan name: HT2_3 - 4 ==> Best params: nu = 0.0165  , gamma = 0.011  , F1_score = 0.96365  


New occurence at: 2021-03-05 02:03:03.635097, Trojan name: HT3_1 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec, TP   , FN   , FP   , TN 
rbf  , 0.007  , 0.007  ,  0.8608  , 0.87607  , 0.98787  , 0.78703  , 714.0  ,  24678   , 322  , 6653  , 18347
rbf  , 0.007  , 0.008  ,  0.86364  , 0.87814  , 0.98658  , 0.79122  , 780.0  ,  24651   , 349  , 6514  , 18486
rbf  , 0.007  , 0.009  ,  0.8664  , 0.88021  , 0.98568  , 0.79516  , 854.0  ,  24618   , 382  , 6380  , 18620
rbf  , 0.007  , 0.01  ,  0.86792  , 0.88128  , 0.98448  , 0.7977  , 941.0  ,  24587   , 413  , 6270  , 18730
rbf  , 0.007  , 0.011  ,  0.87024  , 0.88298  , 0.98304  , 0.80143  , 1033.0  ,  24545   , 455  , 6113  , 18887
rbf  , 0.007  , 0.012  ,  0.87152  , 0.88379  , 0.98111  , 0.80407  , 1136.0  ,  24483   , 517  , 5996  , 19004
rbf  , 0.007  , 0.013  ,  0.8728  , 0.88459  , 0.97887  , 0.8069  , 1240.0  ,  24454   , 546  , 5872  , 19128
rbf  , 0.007  , 0.014  ,  0.87388  , 0.88519  , 0.97622  , 0.80971  , 1354.0  ,  24405   , 595  , 5750  , 19250
rbf  , 0.007  , 0.015  ,  0.87516  , 0.88599  , 0.97397  , 0.81261  , 1466.0  ,  24365   , 635  , 5616  , 19384
rbf  , 0.007  , 0.016  ,  0.87708  , 0.88734  , 0.97204  , 0.81624  , 1583.0  ,  24314   , 686  , 5480  , 19520
rbf  , 0.007  , 0.017  ,  0.87764  , 0.88753  , 0.96948  , 0.81839  , 1703.0  ,  24270   , 730  , 5360  , 19640
rbf  , 0.007  , 0.018  ,  0.87932  , 0.88875  , 0.96796  , 0.82156  , 1824.0  ,  24211   , 789  , 5241  , 19759
rbf  , 0.007  , 0.019  ,  0.88088  , 0.88984  , 0.96611  , 0.82477  , 1950.0  ,  24165   , 835  , 5115  , 19885
rbf  , 0.007  , 0.02  ,  0.88172  , 0.89035  , 0.96426  , 0.82699  , 2068.0  ,  24120   , 880  , 5011  , 19989
rbf  , 0.007  , 0.021  ,  0.88248  , 0.89075  , 0.96194  , 0.82939  , 2191.0  ,  24048   , 952  , 4953  , 20047
rbf  , 0.007  , 0.022  ,  0.8826  , 0.89061  , 0.95961  , 0.8309  , 2314.0  ,  23982   , 1018  , 4884  , 20116
rbf  , 0.007  , 0.023  ,  0.88304  , 0.89077  , 0.95752  , 0.83274  , 2458.0  ,  23928   , 1072  , 4787  , 20213
rbf  , 0.008  , 0.007  ,  0.86352  , 0.8781  , 0.98698  , 0.79088  , 762.0  ,  24656   , 344  , 6478  , 18522
rbf  , 0.008  , 0.008  ,  0.86632  , 0.88016  , 0.98577  , 0.79503  , 818.0  ,  24636   , 364  , 6349  , 18651
rbf  , 0.008  , 0.009  ,  0.86872  , 0.882  , 0.9852  , 0.79839  , 889.0  ,  24608   , 392  , 6220  , 18780
rbf  , 0.008  , 0.01  ,  0.8704  , 0.88319  , 0.98384  , 0.80124  , 962.0  ,  24575   , 425  , 6096  , 18904
rbf  , 0.008  , 0.011  ,  0.8714  , 0.88382  , 0.98231  , 0.80331  , 1048.0  ,  24533   , 467  , 6005  , 18995
rbf  , 0.008  , 0.012  ,  0.87324  , 0.88515  , 0.98087  , 0.80647  , 1147.0  ,  24484   , 516  , 5905  , 19095
rbf  , 0.008  , 0.013  ,  0.87436  , 0.88581  , 0.97855  , 0.80915  , 1247.0  ,  24447   , 553  , 5814  , 19186
rbf  , 0.008  , 0.014  ,  0.87524  , 0.88627  , 0.97606  , 0.81163  , 1358.0  ,  24405   , 595  , 5692  , 19308
rbf  , 0.008  , 0.015  ,  0.87628  , 0.88693  , 0.9743  , 0.81397  , 1468.0  ,  24363   , 637  , 5573  , 19427
rbf  , 0.008  , 0.016  ,  0.87764  , 0.88781  , 0.97212  , 0.81697  , 1584.0  ,  24313   , 687  , 5454  , 19546
rbf  , 0.008  , 0.017  ,  0.878  , 0.88783  , 0.96956  , 0.81885  , 1703.0  ,  24268   , 732  , 5329  , 19671
rbf  , 0.008  , 0.018  ,  0.87916  , 0.88863  , 0.96803  , 0.82129  , 1824.0  ,  24210   , 790  , 5239  , 19761
rbf  , 0.008  , 0.019  ,  0.88076  , 0.88974  , 0.96611  , 0.8246  , 1952.0  ,  24164   , 836  , 5110  , 19890
rbf  , 0.008  , 0.02  ,  0.8818  , 0.89042  , 0.96426  , 0.82711  , 2068.0  ,  24121   , 879  , 5021  , 19979
rbf  , 0.008  , 0.021  ,  0.88236  , 0.89065  , 0.96194  , 0.82922  , 2194.0  ,  24049   , 951  , 4965  , 20035
rbf  , 0.008  , 0.022  ,  0.88244  , 0.89047  , 0.95952  , 0.83071  , 2315.0  ,  23982   , 1018  , 4871  , 20129
rbf  , 0.008  , 0.023  ,  0.88276  , 0.89054  , 0.95761  , 0.83229  , 2459.0  ,  23929   , 1071  , 4800  , 20200
rbf  , 0.009  , 0.007  ,  0.86568  , 0.87973  , 0.98641  , 0.7939  , 811.0  ,  24639   , 361  , 6353  , 18647
rbf  , 0.009  , 0.008  ,  0.86824  , 0.88161  , 0.98521  , 0.79777  , 867.0  ,  24614   , 386  , 6229  , 18771
rbf  , 0.009  , 0.009  ,  0.87008  , 0.88297  , 0.98416  , 0.80067  , 929.0  ,  24595   , 405  , 6103  , 18897
rbf  , 0.009  , 0.01  ,  0.87164  , 0.88412  , 0.98336  , 0.80311  , 998.0  ,  24560   , 440  , 5991  , 19009
rbf  , 0.009  , 0.011  ,  0.87324  , 0.88522  , 0.98159  , 0.80611  , 1078.0  ,  24523   , 477  , 5896  , 19104
rbf  , 0.009  , 0.012  ,  0.87476  , 0.88631  , 0.98031  , 0.80879  , 1167.0  ,  24480   , 520  , 5800  , 19200
rbf  , 0.009  , 0.013  ,  0.87572  , 0.88692  , 0.97863  , 0.81094  , 1258.0  ,  24442   , 558  , 5718  , 19282
rbf  , 0.009  , 0.014  ,  0.87636  , 0.88719  , 0.97623  , 0.81307  , 1368.0  ,  24407   , 593  , 5622  , 19378
rbf  , 0.009  , 0.015  ,  0.87724  , 0.8877  , 0.97421  , 0.81532  , 1475.0  ,  24361   , 639  , 5519  , 19481
rbf  , 0.009  , 0.016  ,  0.87796  , 0.88805  , 0.97204  , 0.81746  , 1589.0  ,  24311   , 689  , 5406  , 19594
rbf  , 0.009  , 0.017  ,  0.87884  , 0.88854  , 0.96972  , 0.81993  , 1705.0  ,  24270   , 730  , 5290  , 19710
rbf  , 0.009  , 0.018  ,  0.88  , 0.8893  , 0.96795  , 0.82251  , 1826.0  ,  24213   , 787  , 5211  , 19789
rbf  , 0.009  , 0.019  ,  0.88104  , 0.88997  , 0.96611  , 0.82499  , 1952.0  ,  24162   , 838  , 5108  , 19892
rbf  , 0.009  , 0.02  ,  0.88212  , 0.89068  , 0.96426  , 0.82756  , 2069.0  ,  24121   , 879  , 5010  , 19990
rbf  , 0.009  , 0.021  ,  0.88224  , 0.89055  , 0.96194  , 0.82905  , 2193.0  ,  24049   , 951  , 4964  , 20036
rbf  , 0.009  , 0.022  ,  0.88276  , 0.89074  , 0.95952  , 0.83118  , 2316.0  ,  23982   , 1018  , 4879  , 20121
rbf  , 0.009  , 0.023  ,  0.88308  , 0.89081  , 0.95761  , 0.83275  , 2459.0  ,  23928   , 1072  , 4790  , 20210
rbf  , 0.01  , 0.007  ,  0.86768  , 0.88121  , 0.98553  , 0.7969  , 862.0  ,  24609   , 391  , 6251  , 18749
rbf  , 0.01  , 0.008  ,  0.87036  , 0.88323  , 0.98456  , 0.80084  , 919.0  ,  24588   , 412  , 6124  , 18876
rbf  , 0.01  , 0.009  ,  0.87184  , 0.8843  , 0.98352  , 0.8033  , 973.0  ,  24565   , 435  , 6009  , 18991
rbf  , 0.01  , 0.01  ,  0.87336  , 0.88542  , 0.98263  , 0.80574  , 1038.0  ,  24537   , 463  , 5908  , 19092
rbf  , 0.01  , 0.011  ,  0.8748  , 0.8864  , 0.98087  , 0.80855  , 1110.0  ,  24510   , 490  , 5805  , 19195
rbf  , 0.01  , 0.012  ,  0.87604  , 0.88726  , 0.9795  , 0.81092  , 1195.0  ,  24474   , 526  , 5725  , 19275
rbf  , 0.01  , 0.013  ,  0.87708  , 0.88799  , 0.97838  , 0.81291  , 1278.0  ,  24436   , 564  , 5640  , 19360
rbf  , 0.01  , 0.014  ,  0.87736  , 0.88797  , 0.97591  , 0.8146  , 1381.0  ,  24396   , 604  , 5540  , 19460
rbf  , 0.01  , 0.015  ,  0.87808  , 0.88836  , 0.97398  , 0.8166  , 1485.0  ,  24354   , 646  , 5444  , 19556
rbf  , 0.01  , 0.016  ,  0.87908  , 0.88896  , 0.97196  , 0.81905  , 1595.0  ,  24308   , 692  , 5341  , 19659
rbf  , 0.01  , 0.017  ,  0.87952  , 0.88908  , 0.96956  , 0.82097  , 1709.0  ,  24267   , 733  , 5248  , 19752
rbf  , 0.01  , 0.018  ,  0.8808  , 0.88997  , 0.96803  , 0.82359  , 1829.0  ,  24212   , 788  , 5165  , 19835
rbf  , 0.01  , 0.019  ,  0.88152  , 0.89037  , 0.96619  , 0.82563  , 1954.0  ,  24160   , 840  , 5076  , 19924
rbf  , 0.01  , 0.02  ,  0.88228  , 0.89081  , 0.96418  , 0.82784  , 2073.0  ,  24119   , 881  , 4997  , 20003
rbf  , 0.01  , 0.021  ,  0.88252  , 0.89078  , 0.96194  , 0.82945  , 2195.0  ,  24048   , 952  , 4943  , 20057
rbf  , 0.01  , 0.022  ,  0.8828  , 0.89077  , 0.95952  , 0.83123  , 2317.0  ,  23981   , 1019  , 4868  , 20132
rbf  , 0.01  , 0.023  ,  0.8828  , 0.89057  , 0.95752  , 0.83239  , 2461.0  ,  23928   , 1072  , 4789  , 20211
rbf  , 0.011  , 0.007  ,  0.86896  , 0.88208  , 0.98424  , 0.79918  , 914.0  ,  24589   , 411  , 6158  , 18842
rbf  , 0.011  , 0.008  ,  0.87116  , 0.88374  , 0.98336  , 0.80249  , 966.0  ,  24568   , 432  , 6036  , 18964
rbf  , 0.011  , 0.009  ,  0.87292  , 0.88507  , 0.98264  , 0.80517  , 1020.0  ,  24541   , 459  , 5923  , 19077
rbf  , 0.011  , 0.01  ,  0.87456  , 0.8863  , 0.98175  , 0.80779  , 1079.0  ,  24516   , 484  , 5821  , 19179
rbf  , 0.011  , 0.011  ,  0.87616  , 0.88746  , 0.98056  , 0.81055  , 1147.0  ,  24489   , 511  , 5730  , 19270
rbf  , 0.011  , 0.012  ,  0.87688  , 0.8879  , 0.97911  , 0.81226  , 1225.0  ,  24458   , 542  , 5652  , 19348
rbf  , 0.011  , 0.013  ,  0.87788  , 0.8886  , 0.97798  , 0.81421  , 1307.0  ,  24424   , 576  , 5568  , 19432
rbf  , 0.011  , 0.014  ,  0.87832  , 0.8887  , 0.97543  , 0.81617  , 1400.0  ,  24382   , 618  , 5474  , 19526
rbf  , 0.011  , 0.015  ,  0.87884  , 0.88894  , 0.97366  , 0.81783  , 1496.0  ,  24345   , 655  , 5380  , 19620
rbf  , 0.011  , 0.016  ,  0.87968  , 0.88946  , 0.97204  , 0.81984  , 1607.0  ,  24299   , 701  , 5292  , 19708
rbf  , 0.011  , 0.017  ,  0.88012  , 0.88958  , 0.96964  , 0.82176  , 1717.0  ,  24259   , 741  , 5196  , 19804
rbf  , 0.011  , 0.018  ,  0.881  , 0.89013  , 0.96796  , 0.82391  , 1831.0  ,  24209   , 791  , 5130  , 19870
rbf  , 0.011  , 0.019  ,  0.88156  , 0.8904  , 0.96611  , 0.82573  , 1957.0  ,  24158   , 842  , 5050  , 19950
rbf  , 0.011  , 0.02  ,  0.88236  , 0.89087  , 0.96418  , 0.82794  , 2076.0  ,  24114   , 886  , 4977  , 20023
rbf  , 0.011  , 0.021  ,  0.8828  , 0.891  , 0.96186  , 0.8299  , 2200.0  ,  24047   , 953  , 4929  , 20071
rbf  , 0.011  , 0.022  ,  0.8832  , 0.8911  , 0.95952  , 0.83181  , 2318.0  ,  23980   , 1020  , 4851  , 20149
rbf  , 0.011  , 0.023  ,  0.88308  , 0.8908  , 0.95752  , 0.8328  , 2461.0  ,  23928   , 1072  , 4784  , 20216
rbf  , 0.012  , 0.007  ,  0.87016  , 0.88292  , 0.98311  , 0.80129  , 975.0  ,  24561   , 439  , 6084  , 18916
rbf  , 0.012  , 0.008  ,  0.87184  , 0.88417  , 0.98223  , 0.80394  , 1019.0  ,  24543   , 457  , 5947  , 19053
rbf  , 0.012  , 0.009  ,  0.87404  , 0.88587  , 0.9816  , 0.80718  , 1068.0  ,  24514   , 486  , 5858  , 19142
rbf  , 0.012  , 0.01  ,  0.87552  , 0.88697  , 0.9808  , 0.80956  , 1124.0  ,  24494   , 506  , 5757  , 19243
rbf  , 0.012  , 0.011  ,  0.87712  , 0.88818  , 0.98  , 0.81213  , 1189.0  ,  24475   , 525  , 5648  , 19352
rbf  , 0.012  , 0.012  ,  0.8778  , 0.88861  , 0.97871  , 0.81372  , 1263.0  ,  24442   , 558  , 5583  , 19417
rbf  , 0.012  , 0.013  ,  0.8784  , 0.88895  , 0.97727  , 0.8153  , 1340.0  ,  24403   , 597  , 5493  , 19507
rbf  , 0.012  , 0.014  ,  0.87912  , 0.88932  , 0.97511  , 0.81744  , 1426.0  ,  24374   , 626  , 5408  , 19592
rbf  , 0.012  , 0.015  ,  0.87968  , 0.88957  , 0.97309  , 0.81928  , 1517.0  ,  24340   , 660  , 5327  , 19673
rbf  , 0.012  , 0.016  ,  0.8802  , 0.88983  , 0.97148  , 0.82087  , 1622.0  ,  24291   , 709  , 5243  , 19757
rbf  , 0.012  , 0.017  ,  0.88096  , 0.89025  , 0.96955  , 0.82298  , 1727.0  ,  24254   , 746  , 5155  , 19845
rbf  , 0.012  , 0.018  ,  0.8812  , 0.89028  , 0.96779  , 0.82428  , 1839.0  ,  24202   , 798  , 5099  , 19901
rbf  , 0.012  , 0.019  ,  0.8822  , 0.89091  , 0.96595  , 0.82672  , 1962.0  ,  24151   , 849  , 5021  , 19979
rbf  , 0.012  , 0.02  ,  0.88276  , 0.8912  , 0.96418  , 0.82852  , 2080.0  ,  24113   , 887  , 4958  , 20042
rbf  , 0.012  , 0.021  ,  0.883  , 0.89116  , 0.96178  , 0.83023  , 2204.0  ,  24048   , 952  , 4909  , 20091
rbf  , 0.012  , 0.022  ,  0.88348  , 0.89133  , 0.95952  , 0.83221  , 2319.0  ,  23979   , 1021  , 4846  , 20154
rbf  , 0.012  , 0.023  ,  0.88312  , 0.89082  , 0.95744  , 0.8329  , 2463.0  ,  23928   , 1072  , 4773  , 20227
rbf  , 0.013  , 0.007  ,  0.87032  , 0.88287  , 0.98136  , 0.80238  , 1028.0  ,  24538   , 462  , 6008  , 18992
rbf  , 0.013  , 0.008  ,  0.8734  , 0.88531  , 0.9812  , 0.80653  , 1070.0  ,  24517   , 483  , 5887  , 19113
rbf  , 0.013  , 0.009  ,  0.87464  , 0.88625  , 0.98064  , 0.80847  , 1114.0  ,  24494   , 506  , 5797  , 19203
rbf  , 0.013  , 0.01  ,  0.8762  , 0.88744  , 0.98  , 0.81089  , 1169.0  ,  24473   , 527  , 5689  , 19311
rbf  , 0.013  , 0.011  ,  0.87764  , 0.88851  , 0.97904  , 0.81334  , 1233.0  ,  24447   , 553  , 5602  , 19398
rbf  , 0.013  , 0.012  ,  0.87848  , 0.88902  , 0.97743  , 0.81532  , 1305.0  ,  24421   , 579  , 5519  , 19481
rbf  , 0.013  , 0.013  ,  0.87944  , 0.88975  , 0.97687  , 0.81693  , 1376.0  ,  24391   , 609  , 5435  , 19565
rbf  , 0.013  , 0.014  ,  0.8798  , 0.88982  , 0.97462  , 0.81863  , 1460.0  ,  24357   , 643  , 5358  , 19642
rbf  , 0.013  , 0.015  ,  0.8804  , 0.89013  , 0.97285  , 0.82041  , 1542.0  ,  24327   , 673  , 5280  , 19720
rbf  , 0.013  , 0.016  ,  0.88084  , 0.8903  , 0.97092  , 0.82207  , 1646.0  ,  24283   , 717  , 5203  , 19797
rbf  , 0.013  , 0.017  ,  0.8812  , 0.89042  , 0.96923  , 0.82349  , 1744.0  ,  24246   , 754  , 5128  , 19872
rbf  , 0.013  , 0.018  ,  0.88188  , 0.89082  , 0.96763  , 0.82534  , 1852.0  ,  24195   , 805  , 5076  , 19924
rbf  , 0.013  , 0.019  ,  0.88272  , 0.89134  , 0.96595  , 0.82746  , 1972.0  ,  24147   , 853  , 5003  , 19997
rbf  , 0.013  , 0.02  ,  0.8834  , 0.89173  , 0.96418  , 0.82943  , 2086.0  ,  24109   , 891  , 4947  , 20053
rbf  , 0.013  , 0.021  ,  0.88332  , 0.89142  , 0.9617  , 0.83074  , 2207.0  ,  24044   , 956  , 4898  , 20102
rbf  , 0.013  , 0.022  ,  0.88344  , 0.89129  , 0.95945  , 0.8322  , 2322.0  ,  23979   , 1021  , 4829  , 20171
rbf  , 0.013  , 0.023  ,  0.88348  , 0.89111  , 0.95736  , 0.83347  , 2465.0  ,  23926   , 1074  , 4762  , 20238
rbf  , 0.014  , 0.007  ,  0.87144  , 0.88365  , 0.98032  , 0.80437  , 1077.0  ,  24512   , 488  , 5939  , 19061
rbf  , 0.014  , 0.008  ,  0.8742  , 0.88587  , 0.98033  , 0.80805  , 1116.0  ,  24500   , 500  , 5805  , 19195
rbf  , 0.014  , 0.009  ,  0.87528  , 0.88664  , 0.97936  , 0.80999  , 1165.0  ,  24476   , 524  , 5727  , 19273
rbf  , 0.014  , 0.01  ,  0.87748  , 0.88842  , 0.97944  , 0.81291  , 1215.0  ,  24457   , 543  , 5632  , 19368
rbf  , 0.014  , 0.011  ,  0.87888  , 0.88946  , 0.97855  , 0.81528  , 1278.0  ,  24432   , 568  , 5544  , 19456
rbf  , 0.014  , 0.012  ,  0.87936  , 0.88969  , 0.97695  , 0.81678  , 1345.0  ,  24398   , 602  , 5461  , 19539
rbf  , 0.014  , 0.013  ,  0.88004  , 0.89016  , 0.97607  , 0.81819  , 1415.0  ,  24373   , 627  , 5388  , 19612
rbf  , 0.014  , 0.014  ,  0.88072  , 0.89053  , 0.97422  , 0.82012  , 1494.0  ,  24347   , 653  , 5321  , 19679
rbf  , 0.014  , 0.015  ,  0.88104  , 0.89065  , 0.97277  , 0.82135  , 1572.0  ,  24313   , 687  , 5239  , 19761
rbf  , 0.014  , 0.016  ,  0.88128  , 0.89062  , 0.97052  , 0.82291  , 1671.0  ,  24278   , 722  , 5169  , 19831
rbf  , 0.014  , 0.017  ,  0.88188  , 0.89095  , 0.96892  , 0.82463  , 1762.0  ,  24239   , 761  , 5106  , 19894
rbf  , 0.014  , 0.018  ,  0.8824  , 0.89123  , 0.9674  , 0.82621  , 1867.0  ,  24186   , 814  , 5048  , 19952
rbf  , 0.014  , 0.019  ,  0.88324  , 0.89177  , 0.96587  , 0.82825  , 1985.0  ,  24145   , 855  , 4977  , 20023
rbf  , 0.014  , 0.02  ,  0.8836  , 0.89189  , 0.9641  , 0.82977  , 2097.0  ,  24105   , 895  , 4931  , 20069
rbf  , 0.014  , 0.021  ,  0.88352  , 0.89157  , 0.96162  , 0.83107  , 2216.0  ,  24043   , 957  , 4875  , 20125
rbf  , 0.014  , 0.022  ,  0.88408  , 0.89183  , 0.95945  , 0.83313  , 2326.0  ,  23983   , 1017  , 4804  , 20196
rbf  , 0.014  , 0.023  ,  0.8838  , 0.89139  , 0.95744  , 0.8339  , 2467.0  ,  23925   , 1075  , 4744  , 20256
rbf  , 0.015  , 0.007  ,  0.87228  , 0.88427  , 0.97976  , 0.80577  , 1133.0  ,  24488   , 512  , 5874  , 19126
rbf  , 0.015  , 0.008  ,  0.8746  , 0.88609  , 0.97944  , 0.80903  , 1173.0  ,  24473   , 527  , 5745  , 19255
rbf  , 0.015  , 0.009  ,  0.87624  , 0.88735  , 0.97887  , 0.81152  , 1218.0  ,  24455   , 545  , 5664  , 19336
rbf  , 0.015  , 0.01  ,  0.87828  , 0.88896  , 0.97848  , 0.8145  , 1260.0  ,  24436   , 564  , 5564  , 19436
rbf  , 0.015  , 0.011  ,  0.8792  , 0.8896  , 0.97743  , 0.8163  , 1319.0  ,  24411   , 589  , 5479  , 19521
rbf  , 0.015  , 0.012  ,  0.8796  , 0.88976  , 0.97574  , 0.81774  , 1389.0  ,  24391   , 609  , 5414  , 19586
rbf  , 0.015  , 0.013  ,  0.88076  , 0.89064  , 0.97502  , 0.81974  , 1455.0  ,  24355   , 645  , 5327  , 19673
