

New occurence at: 2021-03-04 17:10:59.023492, Trojan name: HT1_1 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec, TP   , FN   , FP   , TN 
rbf  , 0.0425  , 0.035  ,  0.80344  , 0.82508  , 0.92959  , 0.74172  , 4411.0  ,  23138   , 1862  , 8178  , 16822
rbf  , 0.045  , 0.02  ,  0.7896  , 0.81789  , 0.9474  , 0.71956  , 3310.0  ,  23633   , 1367  , 9250  , 15750
rbf  , 0.045  , 0.0225  ,  0.7928  , 0.81984  , 0.94532  , 0.7238  , 3436.0  ,  23572   , 1428  , 9053  , 15947
rbf  , 0.045  , 0.025  ,  0.79512  , 0.82114  , 0.94299  , 0.7272  , 3600.0  ,  23490   , 1510  , 8866  , 16134
rbf  , 0.045  , 0.0275  ,  0.79796  , 0.82279  , 0.9405  , 0.7313  , 3770.0  ,  23402   , 1598  , 8688  , 16312
rbf  , 0.045  , 0.03  ,  0.7996  , 0.8234  , 0.93673  , 0.73455  , 3982.0  ,  23327   , 1673  , 8492  , 16508
rbf  , 0.045  , 0.0325  ,  0.80188  , 0.82437  , 0.93232  , 0.73885  , 4215.0  ,  23216   , 1784  , 8299  , 16701
rbf  , 0.045  , 0.035  ,  0.8038  , 0.82515  , 0.92831  , 0.74265  , 4484.0  ,  23111   , 1889  , 8124  , 16876

Trojan name: HT1_1 - 4 ==> Best params: nu = 0.035  , gamma = 0.035  , F1_score = 0.82549  


New occurence at: 2021-03-04 19:47:42.918126, Trojan name: HT1_2 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec, TP   , FN   , FP   , TN 
rbf  , 0.015  , 0.02  ,  0.90024  , 0.90704  , 0.96487  , 0.85576  , 2069.0  ,  24122   , 878  , 4149  , 20851
rbf  , 0.015  , 0.0225  ,  0.90188  , 0.90807  , 0.96075  , 0.86088  , 2366.0  ,  24004   , 996  , 3932  , 21068
rbf  , 0.015  , 0.025  ,  0.90304  , 0.90852  , 0.95456  , 0.86672  , 2696.0  ,  23865   , 1135  , 3727  , 21273
rbf  , 0.015  , 0.0275  ,  0.90344  , 0.9084  , 0.94925  , 0.87093  , 3034.0  ,  23728   , 1272  , 3554  , 21446
rbf  , 0.015  , 0.03  ,  0.90392  , 0.90834  , 0.94385  , 0.87541  , 3392.0  ,  23601   , 1399  , 3383  , 21617
rbf  , 0.0175  , 0.02  ,  0.90032  , 0.90704  , 0.96415  , 0.85633  , 2118.0  ,  24106   , 894  , 4114  , 20886
rbf  , 0.0175  , 0.0225  ,  0.90208  , 0.90819  , 0.96027  , 0.86149  , 2397.0  ,  23986   , 1014  , 3912  , 21088
rbf  , 0.0175  , 0.025  ,  0.90288  , 0.90836  , 0.95432  , 0.86663  , 2709.0  ,  23864   , 1136  , 3718  , 21282
rbf  , 0.0175  , 0.0275  ,  0.90352  , 0.90847  , 0.94925  , 0.87106  , 3039.0  ,  23733   , 1267  , 3551  , 21449
rbf  , 0.0175  , 0.03  ,  0.90388  , 0.9083  , 0.94377  , 0.8754  , 3395.0  ,  23601   , 1399  , 3382  , 21618
rbf  , 0.02  , 0.02  ,  0.90092  , 0.90744  , 0.96296  , 0.85799  , 2189.0  ,  24065   , 935  , 4056  , 20944
rbf  , 0.02  , 0.0225  ,  0.90292  , 0.90886  , 0.95971  , 0.86314  , 2445.0  ,  23973   , 1027  , 3873  , 21127
rbf  , 0.02  , 0.025  ,  0.90292  , 0.90836  , 0.95392  , 0.86696  , 2737.0  ,  23851   , 1149  , 3702  , 21298
rbf  , 0.02  , 0.0275  ,  0.90344  , 0.90836  , 0.94877  , 0.87125  , 3051.0  ,  23726   , 1274  , 3548  , 21452
rbf  , 0.02  , 0.03  ,  0.90408  , 0.90847  , 0.94377  , 0.87572  , 3402.0  ,  23595   , 1405  , 3382  , 21618
rbf  , 0.0225  , 0.02  ,  0.90088  , 0.90726  , 0.96121  , 0.85904  , 2276.0  ,  24021   , 979  , 3997  , 21003
