    4600,    3300,   25700,    3900,    4900,    4540,    3660,   25760,    3740,    4080,
    1000,     700,   25600,    3100,    1000,    1020,     820,   25780,    3200,     880,
    1100,    3600,   25600,     800,     700,    1742,    3820,   25860,     860,     820,
    5200,    3600,   25700,    3300,    1800,    5200,    3780,   25520,    3240,    2640,
    4800,    1100,   25600,    3900,    2600,    4720,     820,   25900,    3300,    2900,
    4600,    3600,   25700,    2900,    3100,    4560,    3660,   25560,    4220,    3860,
    4600,    3400,   25400,    1000,    2800,    4520,    3620,   25780,     920,    3040,
    4400,    4300,   25400,    5100,    4100,    4520,    4000,   25600,    3960,    3300,
    4900,    3400,   25700,    4100,    4300,    4800,    3700,   25700,    3300,    3360,
    4300,    1100,   25600,    3300,    4300,    4380,     880,   25780,    3820,    4220,
    1300,    1000,   26200,    1100,    4300,    1080,     980,   26140,     840,    4320,
    1100,    5100,   25600,    3100,    2900,    1120,    4260,   25800,    3700,    3760,
    1100,    3400,   26100,     700,    2900,    1597,    3900,   25980,     700,    3700,
     800,     800,   26200,     800,    2800,    1777,     820,   26000,     880,    3400,
    1100,    1500,   25700,    3600,    1000,    1040,     940,   26000,    3560,     940,
    1100,    1000,   26100,    4100,    4600,    1140,     860,   25860,    3680,    3160,
    1100,    5100,   26100,    3100,    2800,    1120,    4420,   26040,    3100,    2820,
    1100,     800,   25700,    3800,    2800,    1080,    1020,   25700,    3540,    2720,
    4800,    3800,   25900,     800,    2800,    5128,    3700,   25740,     760,    3580,
    4100,    3800,   25200,    3400,    4100,    4460,    4060,   25540,    3760,    3560,
    1300,    3600,   25600,    2900,    2600,    1200,    4060,   25840,    3480,    3560,
    4900,    3100,   26200,     800,     800,    4700,    3580,   26040,     860,     920,
    4600,    3900,   25600,     700,    2900,    4640,    3460,   25780,     880,    2820,
     800,    5100,   25600,    4400,    4100,    1020,    3960,   25840,    3860,    3920,
    4800,    1000,   26100,     800,    4300,    4680,     980,   26040,     840,    3080,
    4100,     800,   25400,    4100,    3800,    4360,     940,   25820,    3460,    3060,
    4100,    3600,   25600,    1000,     700,    4380,    3600,   25860,     800,     760,
    1300,    3600,   25900,    3400,     800,    1756,    3720,   25880,    3480,     780,
    4100,    3400,   25900,     800,     800,    4220,    4340,   26020,     820,     860,
    4900,    4400,   25400,     800,    2800,    4560,    3780,   25800,     840,    3540,
    4600,     800,   25700,    1000,    4600,    4500,     920,   26000,     900,    4240,
    4800,    1100,   25900,    4100,    4300,    4600,    1020,   25980,    4040,    4280,
     800,    4400,   26200,    3100,     700,    1020,    4300,   26060,    3580,     780,
    4800,    1000,   26100,    2900,    2600,    4780,    1000,   25980,    3200,    2900,
    1100,    4100,   25900,    1000,    3900,    1707,    3700,   25960,     920,    4020,
    4400,    5200,   26200,     700,    2900,    4560,    3980,   26040,     840,    2980,
    4300,     800,   25700,     700,    1000,    4620,     880,   26000,     840,    1720,
    5100,    1000,   25600,    4100,    2900,    5020,     880,   25880,    3540,    3440,
    1100,     800,   26100,    4100,    3100,    1040,     980,   26020,    4180,    3980,
    4100,    3300,   25900,     800,    3900,    4340,    4300,   25780,     920,    3760,
    4100,     700,   26200,    3900,     800,    4998,     880,   26000,    3660,     800,
    4400,    3400,   25700,    3800,    4300,    4340,    4360,   25820,    4120,    4080,
    4800,     800,   26200,     700,    3300,    4440,    1000,   25940,     740,    4040,
    4800,    3600,   25900,    1000,    2800,    4420,    4400,   25900,     880,    3700,
    1300,    3400,   25600,    2900,    1000,    1140,    3640,   26000,    3640,     860,
    4100,     800,   25900,    4300,    3900,    4420,     920,   25980,    4260,    4060,
    1100,    4100,   26200,    2900,    2600,    1100,    3740,   26040,    3220,    3400,
    4100,    3300,   26100,    4300,    1000,    4260,    3780,   25980,    3660,     820,
    4800,     700,   25600,    2900,    1000,    4640,     780,   25780,    3360,     800,
     800,    3800,   26200,     800,    1000,    1020,    3960,   26060,     880,    2100,
    4400,    3600,   26100,    2900,     800,    4520,    3440,   25880,    3620,     920,
    4100,    3400,   25400,    4300,    3900,    4200,    4240,   25760,    4140,    3980,
    1300,    5100,   25600,     800,    4100,    1140,    4300,   25880,     860,    3880,
    1000,    3600,   25400,     800,    4400,    1040,    3900,   25740,     840,    4120,
    4800,    1000,   25700,     700,    2600,    4640,     920,   25900,     800,    2780,
    4600,    3300,   25400,    3400,    1000,    4300,    3640,   25540,    3500,     940,
    1100,    3300,   25900,     800,    2600,    1060,    3860,   25860,     840,    3800,
    4100,    3900,   25700,     800,    3900,    4500,    3540,   25860,     760,    4240,
    5200,    3900,   25700,    3800,    3100,    5180,    3740,   25520,    3340,    2740,
    4300,    3300,   25600,    3800,    2600,    4340,    3940,   25680,    3720,    3360,
    1100,    3600,   26100,    4400,     800,    1817,    3720,   26000,    3620,     880,
    4900,    3400,   25600,    1000,    4300,    4700,    3740,   25920,     840,    3180,
    1000,    1100,   26100,     800,    2900,    1000,    1020,   26140,     860,    2820,
    5400,    2900,   25700,    2900,    2900,    5140,    2620,   25660,    3480,    3280,
    4900,    1100,   25600,    4100,    4600,    4560,    1000,   25800,    3600,    4000,
